tip_label,species,action
Saussurea_pygmaea_1104330_PHA007975_BGN_CPM,Saussurea_pygmaea,direct match
Saussurea_discolor_143209_PHA007972_BGN_GMH,Saussurea_discolor,direct match
Saussurea_alpina_depressa_1533370_PHA007969_BGN_DRT,Saussurea_alpina,direct match
Saponaria_pumila_288948_PHA007948_BGN_FLD,Saponaria_pumila,direct match
Saponaria_ocymoides_42033_PHA007944_BGN_FC,Saponaria_ocymoides,direct match
Sanicula_europaea_71982_PHA007935_BGN_FB,Sanicula_europaea,direct match
Sanguisorba_minor_minor_137456_PHA007927_BGN_BDP,Sanguisorba_minor,direct match
Sanguisorba_dodecandra_1533365_PHA007925_BGN_HMV,Sanguisorba_dodecandra,direct match
Sambucus_racemosa_4203_PHA007919_BGN_FDT,Sambucus_racemosa,direct match
Sambucus_nigra_4202_PHA007917_RSZ_RSZAXPI000689-81,Sambucus_nigra,direct match
Sambucus_ebulus_28503_PHA007914_BGN_FFH,Sambucus_ebulus,direct match
Salvia_pratensis_pratensis_1211609_PHA007901_BGN_BDN,Salvia_pratensis,direct match
Salvia_glutinosa_49211_PHA007896_BGN_BQG,Salvia_glutinosa,direct match
Salix_waldsteiniana_882678_PHA007885_BGN_KAA,Salix_waldsteiniana,direct match
Salix_serpyllifolia_77067_PHA007879_BGN_FHS,Salix_serpyllifolia,direct match
Salix_retusa_77066_PHA007876_BGN_BQF,Salix_retusa,direct match
Salix_reticulata_75717_TROM_V_96294_BMB_BC,Salix_reticulata,direct match
Salix_purpurea_77065_PHA007869_BGN_CKF,Salix_purpurea,direct match
Salix_myrsinifolia_subsp_kolaensis_717487_TROM_V_351220_CDM_BBT,Salix_myrsinifolia,direct match
Salix_mielichhoferi_1533362_PHA007860_BGN_HMN,Salix_mielichhoferi,direct match
Salix_herbacea_77064_PHA007856_BGN_AEQ,Salix_herbacea,direct match
Salix_helvetica_470273_PHA007851_BGN_FCG,Salix_helvetica,direct match
Salix_hastata_subsp_subintegrifolia_1891587_TROM_V_56348_BXA_BSS,Salix_hastata,direct match
Salix_glaucosericea_1301447_PHA007847_BGN_DTM,Salix_glaucosericea,direct match
Salix_glabra_1208411_PHA007843_BGN_HMM,Salix_glabra,direct match
Salix_foetida_470271_PHA007840_BGN_KSG,Salix_foetida,direct match
Salix_elaeagnos_elaeagnos_386449_PHA007836_BGN_BQD,Salix_eleagnos,direct match
Salix_caprea_subsp_sphacelata_2820143_TROM_V_351285_BMB_LF,Salix_caprea,direct match
Salix_breviserrata_1533360_PHA007824_BGN_BQC,Salix_breviserrata,direct match
Salix_aurita_470270_PHA007819_BGN_CMI,Salix_aurita,direct match
Salix_appendiculata_470279_PHA007815_BGN_KCS,Salix_appendiculata,direct match
Salix_alpina_1208410_PHA007813_BGN_HMK,Salix_alpina,direct match
Salix_alaxensis_426348_TROM_V_968331_BXA_CCH,Salix_alba,direct match
Sagina_saginoides_669803_TROM_V_651765_BMB_GT,Sagina_saginoides,direct match
